feature_names,importance
volume_imbalance_mean_300,276.4
bid_spread_mean,405.2
wap_mean,429.0
wap_mean_300,482.2
total_volume_mean_300,507.0
volume_imbalance_mean,522.4
total_volume_mean,542.4
ask_spread_mean,605.2
stock_id_target_enc,658.4
trade_size_sum_300,681.8
bid_spread_mean_300,745.6
ask_spread_mean_300,820.0
trade_size_sum,877.6
wap_balance_mean_300,950.8
wap_balance_mean,1016.6
trade_order_count_mean_300,1135.2
log_return2_realized_volatility,1398.0
trade_log_return_realized_volatility,1502.4
log_return2_realized_volatility_300,1541.2
trade_order_count_mean,1621.0
trade_log_return_realized_volatility_300,1682.6
price_spread_mean_300,1830.2
trade_seconds_in_bucket_count_unique,2199.6
price_spread_mean,2335.2
trade_seconds_in_bucket_count_unique_300,2485.4
log_return_realized_volatility,2798.2
log_return_realized_volatility_300,2934.0
stock_id,10978.4
